Customer_ID,Birthdate,Gender,City,Register_Date,first_order_date,total_orders,Client_Type
C2000,1995-07-27,Female,Lake Mollymouth,2021-09-06,2024-03-15,0,Premium
C2001,1970-11-01,Female,Brownhaven,2020-06-02,2023-09-22,10,Regular
C2002,2002-05-16,Male,Cindyfort,2022-12-28,2024-10-03,5,VIP
C2003,2004-12-20,Female,Wolfborough,2021-06-15,2025-03-24,7,Regular
C2004,2001-03-02,Female,Andreaport,2022-03-17,2023-07-29,3,VIP
C2005,1972-10-22,Male,Gilmorefort,2022-05-19,2025-03-03,0,Premium
C2006,1980-12-02,Male,North Teresabury,2021-04-06,2024-09-03,4,Regular
C2007,1995-03-01,Other,West Andrea,2021-10-21,2023-12-08,9,Regular
C2008,1994-04-15,Female,Davisville,2022-08-24,2023-08-19,9,Regular
C2009,1981-06-17,Male,Valentineberg,2021-11-21,2025-02-25,9,Regular
C2010,1998-09-22,Other,Cantuport,2022-02-16,2025-04-11,3,Premium
C2011,1985-05-06,Other,Robertfort,2021-01-30,2025-02-26,5,Regular
C2012,2005-05-23,Female,Sanchezside,2023-03-08,2023-11-16,9,Regular
C2013,1959-04-21,Female,South James,2022-10-14,2023-06-29,5,Regular
C2014,1977-07-09,Male,Port Chad,2023-02-07,2024-09-07,7,Premium
C2015,1959-03-24,Male,Morganhaven,2021-11-28,2024-01-22,8,Regular
C2016,1962-11-13,Female,Loriport,2020-08-28,2023-10-29,4,Regular
C2017,1973-12-14,Female,Maryshire,2022-12-03,2023-06-21,6,Regular
C2018,1977-05-05,Female,Grimesmouth,2021-07-19,2024-01-31,4,Premium
C2019,1946-04-09,Male,Reedside,2021-05-04,2024-09-15,4,Regular
C2020,1970-10-04,Female,Gibsonmouth,2020-08-09,2025-03-20,4,Regular
C2021,1967-03-03,Female,Lake John,2020-08-22,2024-09-03,5,Regular
C2022,1989-10-23,Female,Hallchester,2021-06-07,2023-08-24,6,Regular
C2023,1990-07-06,Female,West Juliefurt,2020-12-12,2023-05-28,4,Regular
C2024,1998-08-10,Female,Mcneilberg,2021-11-28,2024-02-19,2,Premium
C2025,1971-10-23,Female,Hannaberg,2022-12-27,2024-08-15,4,Premium
C2026,1993-07-29,Male,Mollymouth,2020-12-12,2023-12-11,7,Regular
