Product_ID,Customer_ID,Time_ID,Payments_ID,Shipments_ID,Campaigns_ID
P1043,C2275,T3019,PM4015,SH5014,CP6007
P1053,C2015,T3577,PM4009,SH5003,CP6000
P1017,C2404,T3502,PM4042,SH5025,CP6009
P1002,C2172,T3146,PM4025,SH5014,CP6001
P1006,C2247,T3428,PM4028,SH5035,CP6018
P1042,C2382,T3164,PM4004,SH5031,CP6013
P1081,C2217,T3309,PM4010,SH5042,CP6002
P1037,C2086,T3517,PM4028,SH5037,CP6008
P1036,C2081,T3013,PM4044,SH5003,CP6007
P1057,C2061,T3131,PM4014,SH5040,CP6010
P1032,C2286,T3438,PM4005,SH5008,CP6014
P1058,C2499,T3673,PM4047,SH5034,CP6005
P1094,C2041,T3262,PM4014,SH5027,CP6001
P1010,C2011,T3642,PM4042,SH5036,CP6000
P1067,C2320,T3224,PM4019,SH5046,CP6002
P1081,C2233,T3257,PM4033,SH5008,CP6017
P1067,C2328,T3233,PM4001,SH5001,CP6013
P1097,C2130,T3335,PM4043,SH5002,CP6016
P1092,C2114,T3408,PM4015,SH5043,CP6001
P1087,C2217,T3023,PM4018,SH5047,CP6018
P1021,C2136,T3270,PM4033,SH5004,CP6008
P1065,C2105,T3094,PM4048,SH5009,CP6007
P1043,C2178,T3141,PM4013,SH5027,CP6009
P1005,C2015,T3693,PM4023,SH5014,CP6008
P1041,C2471,T3717,PM4027,SH5013,CP6007
P1024,C2241,T3080,PM4047,SH5045,CP6006
P1056,C2333,T3273,PM4031,SH5022,CP6005
P1084,C2380,T3275,PM4036,SH5012,CP6001
P1054,C2386,T3464,PM4009,SH5015,CP6008
P1015,C2225,T3207,PM4048,SH5029,CP6008
P1094,C2480,T3295,PM4044,SH5039,CP6018
P1013,C2241,T3038,PM4047,SH5007,CP6008
P1038,C2407,T3287,PM4008,SH5016,CP6001
P1027,C2456,T3123,PM4023,SH5029,CP6018
P1095,C2140,T3282,PM4035,SH5016,CP6015
P1091,C2385,T3179,PM4028,SH5034,CP6013
P1050,C2198,T3096,PM4028,SH5000,CP6019
P1048,C2111,T3190,PM4047,SH5048,CP6000
P1008,C2126,T3073,PM4022,SH5023,CP6012
P1057,C2020,T3446,PM4026,SH5047,CP6001
P1044,C2146,T3496,PM4030,SH5048,CP6013
P1021,C2088,T3560,PM4042,SH5024,CP6000
P1031,C2302,T3483,PM4006,SH5001,CP6014
P1068,C2405,T3721,PM4048,SH5024,CP6017
P1086,C2202,T3115,PM4044,SH5013,CP6008
P1068,C2416,T3534,PM4003,SH5038,CP6007
P1041,C2415,T3097,PM4013,SH5032,CP6006
P1052,C2447,T3327,PM4041,SH5016,CP6008
P1095,C2084,T3406,PM4041,SH5030,CP6008
P1058,C2166,T3312,PM4009,SH5009,CP6010
P1073,C2383,T3701,PM4043,SH5005,CP6003
P1038,C2467,T3693,PM4033,SH5038,CP6006
P1014,C2071,T3147,PM4025,SH5024,CP6006
P1070,C2297,T3341,PM4022,SH5037,CP6003
P1028,C2484,T3494,PM4008,SH5036,CP6011
P1002,C2008,T3022,PM4036,SH5029,CP6016
P1082,C2280,T3104,PM4007,SH5033,CP6019
P1009,C2472,T3674,PM4013,SH5017,CP6002
P1091,C2480,T3578,PM4006,SH5023,CP6008
P1028,C2257,T3557,PM4006,SH5048,CP6004
P1078,C2274,T3592,PM4008,SH5026,CP6019
P1034,C2237,T3658,PM4002,SH5026,CP6015
P1005,C2019,T3221,PM4013,SH5038,CP6007
P1011,C2489,T3014,PM4016,SH5020,CP6015
P1037,C2232,T3632,PM4049,SH5018,CP6018
P1076,C2489,T3077,PM4043,SH5038,CP6015
P1092,C2220,T3321,PM4021,SH5022,CP6017
P1018,C2325,T3240,PM4045,SH5038,CP6014
P1066,C2016,T3017,PM4025,SH5047,CP6017
P1007,C2379,T3453,PM4027,SH5043,CP6013
P1007,C2088,T3442,PM4044,SH5046,CP6015
P1083,C2485,T3276,PM4013,SH5014,CP6004
P1046,C2195,T3423,PM4008,SH5042,CP6007
P1003,C2349,T3475,PM4025,SH5001,CP6015
P1050,C2083,T3026,PM4001,SH5034,CP6000
P1084,C2386,T3513,PM4010,SH5019,CP6010
P1066,C2086,T3463,PM4016,SH5027,CP6010
P1044,C2306,T3362,PM4033,SH5014,CP6001
P1007,C2337,T3382,PM4018,SH5015,CP6018
P1086,C2153,T3524,PM4038,SH5032,CP6004
P1015,C2439,T3381,PM4017,SH5046,CP6002
P1076,C2227,T3183,PM4012,SH5011,CP6007
P1066,C2447,T3193,PM4004,SH5038,CP6003
P1008,C2263,T3461,PM4049,SH5038,CP6012
P1059,C2464,T3055,PM4022,SH5042,CP6013
P1077,C2222,T3229,PM4023,SH5019,CP6000
P1076,C2420,T3488,PM4028,SH5028,CP6004
P1070,C2492,T3027,PM4047,SH5042,CP6006
P1014,C2120,T3582,PM4046,SH5048,CP6005
P1070,C2480,T3721,PM4007,SH5002,CP6014
P1097,C2410,T3183,PM4025,SH5047,CP6014
P1040,C2172,T3424,PM4014,SH5004,CP6007
P1021,C2003,T3374,PM4000,SH5001,CP6001
